"video","audiovisual","clip","documental corto","corto creativo"
"cartel","afiche","diseño gráfico","pieza visual"
"podcast","audio","entrevista sonora","programa radial"
"presentación oral","exposición hablada","charla","discurso"
"instalación","espacio artístico","montaje in situ","obra inmersiva"
"mural","intervención pictórica","grafiti","arte urbano"
"libro","fanzine","cuadernillo","publicación impresa"
"objeto artístico","pieza creada","artefacto","prototipo"
"teatro","actuación","escena performática","dramatización"
"coreografía","danza","movimiento","performance corporal"
