"redes sociales","Instagram","Facebook","TikTok","YouTube","historias"
"cartel","afiche en la calle","pegatina","mural informativo","anuncio visual"
"WhatsApp","grupo de chat","mensaje directo","audio","difusión por celular"
"boca a boca","me lo contaron","un amigo me dijo","lo escuché en la comunidad"
"correo electrónico","newsletter","boletín digital","mail"
"evento en vivo","feria","encuentro","actividad en el parque"
"volante","papel informativo","panfleto","impreso"
"megáfono","voz en la calle","convocatoria sonora"
